date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2019-12-31,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-31,3.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-01,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-02,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-03,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-04,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-05,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-06,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-07,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-08,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-09,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-10,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-11,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-12,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-13,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-14,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-15,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-16,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-17,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-18,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-19,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-20,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-21,0.0,3.0,0.0,3.0,,3.0,0.04961808299940915,0.04961808299940915,0.04961808299940915
2020-02-22,14.0,17.0,0.0,17.0,,17.0,0.28116913699665186,0.28116913699665186,0.28116913699665186
2020-02-23,62.0,79.0,2.0,79.0,,79.0,1.3066095189844409,1.3066095189844409,1.3066095189844409
2020-02-24,53.0,132.0,0.0,132.0,,132.0,2.1831956519740023,2.1831956519740023,2.1831956519740023
2020-02-25,97.0,229.0,4.0,229.0,,229.0,3.7875136689548983,3.7875136689548983,3.7875136689548983
2020-02-26,93.0,322.0,5.0,322.0,,322.0,5.325674241936582,5.325674241936582,5.325674241936582
2020-02-27,78.0,400.0,1.0,400.0,,400.0,6.61574439992122,6.61574439992122,6.61574439992122
2020-02-28,250.0,650.0,5.0,650.0,,650.0,10.750584649871982,10.750584649871982,10.750584649871982
2020-02-29,238.0,888.0,4.0,888.0,,888.0,14.686952567825108,14.686952567825108,14.686952567825108
2020-03-01,240.0,1128.0,8.0,1128.0,,1128.0,18.656399207777838,18.656399207777838,18.656399207777838
2020-03-02,561.0,1689.0,6.0,1689.0,,1689.0,27.93498072866735,27.93498072866735,27.93498072866735
2020-03-03,347.0,2036.0,17.0,2036.0,,2036.0,33.67413899559901,33.67413899559901,33.67413899559901
2020-03-04,466.0,2502.0,28.0,2502.0,,2502.0,41.38148122150723,41.38148122150723,41.38148122150723
2020-03-05,587.0,3089.0,27.0,3089.0,,3089.0,51.09008612839162,51.09008612839162,51.09008612839162
2020-03-06,769.0,3858.0,41.0,3858.0,,3858.0,63.80885473724016,63.80885473724016,63.80885473724016
2020-03-07,778.0,4636.0,49.0,4636.0,,4636.0,76.67647759508694,76.67647759508694,76.67647759508694
2020-03-08,1247.0,5883.0,36.0,5883.0,,5883.0,97.30106076184134,97.30106076184134,97.30106076184134
2020-03-09,1492.0,7375.0,133.0,7375.0,,7375.0,121.97778737354749,121.97778737354749,121.97778737354749
2020-03-10,1797.0,9172.0,98.0,9172.0,,9172.0,151.69901909019356,151.69901909019356,151.69901909019356
2020-03-11,977.0,10149.0,167.0,10149.0,,10149.0,167.85797478700115,167.85797478700115,167.85797478700115
2020-03-12,2313.0,12462.0,196.0,12462.0,,12462.0,206.1135167795456,206.1135167795456,206.1135167795456
2020-03-13,2651.0,15113.0,189.0,15113.0,,15113.0,249.95936279002348,249.95936279002348,249.95936279002348
2020-03-14,2547.0,17660.0,252.0,17660.0,,17660.0,292.0851152565219,292.0851152565219,292.0851152565219
2020-03-15,3497.0,21157.0,173.0,21157.0,,21157.0,349.9232606728331,349.9232606728331,349.9232606728331
2020-03-16,2823.0,23980.0,370.0,23980.0,,23980.0,396.6138767752771,396.6138767752771,396.6138767752771
2020-03-17,4000.0,27980.0,347.0,27980.0,,27980.0,462.7713207744893,462.7713207744893,462.7713207744893
2020-03-18,3526.0,31506.0,347.0,31506.0,,31506.0,521.0891076597949,521.0891076597949,521.0891076597949
2020-03-19,4207.0,35713.0,473.0,35713.0,,35713.0,590.6701993859663,590.6701993859663,590.6701993859663
2020-03-20,5322.0,41035.0,429.0,41035.0,,41035.0,678.6926786269181,678.6926786269181,678.6926786269181
2020-03-21,5986.0,47021.0,625.0,47021.0,,47021.0,777.6972935717392,777.6972935717392,777.6972935717392
2020-03-22,6557.0,53578.0,795.0,53578.0,,53578.0,886.1458836474478,886.1458836474478,886.1458836474478
2020-03-23,5560.0,59138.0,649.0,59138.0,,59138.0,978.1047308063527,978.1047308063527,978.1047308063527
2020-03-24,4789.0,63927.0,601.0,63927.0,,63927.0,1057.3117306344095,1057.3117306344095,1057.3117306344095
2020-03-25,5249.0,69176.0,743.0,69176.0,,69176.0,1144.1268365223757,1144.1268365223757,1144.1268365223757
2020-03-26,5210.0,74386.0,685.0,74386.0,,74386.0,1230.2969073313495,1230.2969073313495,1230.2969073313495
2020-03-27,6153.0,80539.0,660.0,80539.0,,80539.0,1332.0635955631378,1332.0635955631378,1332.0635955631378
2020-03-28,5959.0,86498.0,971.0,86498.0,,86498.0,1430.6216477609642,1430.6216477609642,1430.6216477609642
2020-03-29,5974.0,92472.0,887.0,92472.0,,92472.0,1529.4277903737875,1529.4277903737875,1529.4277903737875
2020-03-30,5217.0,97689.0,758.0,97689.0,,97689.0,1615.71363670976,1615.71363670976,1615.71363670976
2020-03-31,4050.0,101739.0,810.0,101739.0,,101739.0,1682.6980487589624,1682.6980487589624,1682.6980487589624
2020-04-01,4053.0,105792.0,839.0,105792.0,,105792.0,1749.7320788911643,1749.7320788911643,1749.7320788911643
2020-04-02,4782.0,110574.0,727.0,110574.0,,110574.0,1828.8233031922223,1828.8233031922223,1828.8233031922223
2020-04-03,4668.0,115242.0,760.0,115242.0,,115242.0,1906.029040339303,1906.029040339303,1906.029040339303
2020-04-04,4585.0,119827.0,764.0,119827.0,,119827.0,1981.8620105234,1981.8620105234,1981.8620105234
2020-04-05,4805.0,124632.0,681.0,124632.0,,124632.0,2061.3336401274537,2061.3336401274537,2061.3336401274537
2020-04-06,4316.0,128948.0,527.0,128948.0,,128948.0,2132.7175222026035,2132.7175222026035,2132.7175222026035
2020-04-07,3599.0,132547.0,636.0,132547.0,,132547.0,2192.242682440895,2192.242682440895,2192.242682440895
2020-04-08,3039.0,135586.0,604.0,135586.0,,135586.0,2242.5058005192964,2242.5058005192964,2242.5058005192964
2020-04-09,3836.0,139422.0,540.0,139422.0,,139422.0,2305.9507893145405,2305.9507893145405,2305.9507893145405
2020-04-10,4204.0,143626.0,612.0,143626.0,,143626.0,2375.482262957713,2375.482262957713,2375.482262957713
2020-04-11,3951.0,147577.0,570.0,147577.0,,147577.0,2440.8292782679346,2440.8292782679346,2440.8292782679346
2020-04-12,4694.0,152271.0,619.0,152271.0,,152271.0,2518.46503880101,2518.46503880101,2518.46503880101
2020-04-13,4092.0,156363.0,431.0,156363.0,,156363.0,2586.144104012204,2586.144104012204,2586.144104012204
2020-04-14,3153.0,159516.0,564.0,159516.0,,159516.0,2638.2927092445834,2638.2927092445834,2638.2927092445834
2020-04-15,2972.0,162488.0,604.0,162488.0,,162488.0,2687.447690135998,2687.447690135998,2687.447690135998
2020-04-16,2667.0,165155.0,578.0,165155.0,,165155.0,2731.5581659224727,2731.5581659224727,2731.5581659224727
2020-04-17,3786.0,168941.0,525.0,168941.0,,168941.0,2794.176186667727,2794.176186667727,2794.176186667727
2020-04-18,3493.0,172434.0,575.0,172434.0,,172434.0,2851.948174640039,2851.948174640039,2851.948174640039
2020-04-19,3491.0,175925.0,480.0,175925.0,,175925.0,2909.6870838903515,2909.6870838903515,2909.6870838903515
2020-04-20,3047.0,178972.0,433.0,178972.0,7841.0,178972.0,2960.082516856751,2960.082516856751,2960.082516856751
2020-04-21,2256.0,181228.0,454.0,181228.0,28095.0,181228.0,2997.395315272307,2997.395315272307,2997.395315272307
2020-04-22,2729.0,183957.0,534.0,183957.0,44248.0,183957.0,3042.5312314407697,3042.5312314407697,3042.5312314407697
2020-04-23,3370.0,187327.0,437.0,187327.0,37083.0,187327.0,3098.2688780101057,3098.2688780101057,3098.2688780101057
2020-04-24,2646.0,189973.0,464.0,189973.0,95273.0,189973.0,3142.0320272155845,3142.0320272155845,3142.0320272155845
2020-04-25,3021.0,192994.0,420.0,192994.0,38676.0,192994.0,3191.99743679599,3191.99743679599,3191.99743679599
2020-04-26,2357.0,195351.0,415.0,195351.0,24113.0,195351.0,3230.9807106725257,3230.9807106725257,3230.9807106725257
2020-04-27,2324.0,197675.0,260.0,197675.0,26678.0,197675.0,3269.418185636068,3269.418185636068,3269.418185636068
2020-04-28,1739.0,199414.0,333.0,199414.0,37554.0,199414.0,3298.180134414725,3298.180134414725,3298.180134414725
2020-04-29,2091.0,201505.0,382.0,201505.0,38589.0,201505.0,3332.7639382653133,3332.7639382653133,3332.7639382653133
2020-04-30,2086.0,203591.0,323.0,203591.0,41441.0,203591.0,3367.2650453109027,3367.2650453109027,3367.2650453109027
2020-05-01,1872.0,205463.0,285.0,205463.0,43732.0,205463.0,3398.226729102534,3398.226729102534,3398.226729102534
2020-05-02,1965.0,207428.0,269.0,207428.0,31231.0,207428.0,3430.726573467147,3430.726573467147,3430.726573467147
2020-05-03,1900.0,209328.0,474.0,209328.0,27047.0,209328.0,3462.151359366773,3462.151359366773,3462.151359366773
2020-05-04,1389.0,210717.0,174.0,210717.0,22999.0,210717.0,3485.124531795499,3485.124531795499,3485.124531795499
2020-05-05,1221.0,211938.0,195.0,211938.0,32211.0,211938.0,3505.319091576259,3505.319091576259,3505.319091576259
2020-05-06,1075.0,213013.0,236.0,213013.0,37771.0,213013.0,3523.0989046510467,3523.0989046510467,3523.0989046510467
2020-05-07,1444.0,214457.0,369.0,214457.0,13665.0,214457.0,3546.9817419347623,3546.9817419347623,3546.9817419347623
2020-05-08,1401.0,215858.0,274.0,215858.0,45428.0,215858.0,3570.1533866954865,3570.1533866954865,3570.1533866954865
2020-05-09,1327.0,217185.0,243.0,217185.0,36091.0,217185.0,3592.1011187422255,3592.1011187422255,3592.1011187422255
2020-05-10,1083.0,218268.0,194.0,218268.0,31384.0,218268.0,3610.013246705012,3610.013246705012,3610.013246705012
2020-05-11,802.0,219070.0,165.0,219070.0,25823.0,219070.0,3623.277814226854,3623.277814226854,3623.277814226854
2020-05-12,744.0,219814.0,179.0,219814.0,39620.0,219814.0,3635.5830988107073,3635.5830988107073,3635.5830988107073
2020-05-13,1402.0,221216.0,172.0,221216.0,37049.0,221216.0,3658.7712829324314,3658.7712829324314,3658.7712829324314
2020-05-14,888.0,222104.0,195.0,222104.0,41131.0,222104.0,3673.4582355002563,3673.4582355002563,3673.4582355002563
