date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-15,992.0,223096.0,262.0,223096.0,39027.0,223096.0,3689.865281612061,3689.865281612061,3689.865281612061
2020-05-16,789.0,223885.0,242.0,223885.0,40657.0,223885.0,3702.9148374409056,3702.9148374409056,3702.9148374409056
2020-05-17,875.0,224760.0,153.0,224760.0,33505.0,224760.0,3717.3867783157334,3717.3867783157334,3717.3867783157334
2020-05-18,675.0,225435.0,145.0,225435.0,26101.0,225435.0,3728.5508469906003,3728.5508469906003,3728.5508469906003
2020-05-19,451.0,225886.0,99.0,225886.0,40226.0,225886.0,3736.0100988015115,3736.0100988015115,3736.0100988015115
2020-05-20,813.0,226699.0,162.0,226699.0,38617.0,226699.0,3749.4565992943517,3749.4565992943517,3749.4565992943517
2020-05-21,665.0,227364.0,161.0,227364.0,40644.0,227364.0,3760.4552743592203,3760.4552743592203,3760.4552743592203
2020-05-22,642.0,228006.0,156.0,228006.0,42987.0,228006.0,3771.073544121094,3771.073544121094,3771.073544121094
2020-05-23,652.0,228658.0,130.0,228658.0,42579.0,228658.0,3781.8572074929657,3781.8572074929657,3781.8572074929657
2020-05-24,669.0,229327.0,119.0,229327.0,34206.0,229327.0,3792.922040001834,3792.922040001834,3792.922040001834
2020-05-25,531.0,229858.0,50.0,229858.0,20676.0,229858.0,3801.7044406927293,3801.7044406927293,3801.7044406927293
2020-05-26,300.0,230158.0,92.0,230158.0,33944.0,230158.0,3806.6662489926703,3806.6662489926703,3806.6662489926703
2020-05-27,397.0,230555.0,78.0,230555.0,37299.0,230555.0,3813.232375309592,3813.232375309592,3813.232375309592
2020-05-28,584.0,231139.0,117.0,231139.0,39838.0,231139.0,3822.891362133477,3822.891362133477,3822.891362133477
2020-05-29,593.0,231732.0,70.0,231732.0,38233.0,231732.0,3832.6992032063604,3832.6992032063604,3832.6992032063604
2020-05-30,516.0,232248.0,87.0,232248.0,36051.0,232248.0,3841.233513482259,3841.233513482259,3841.233513482259
2020-05-31,416.0,232664.0,111.0,232664.0,28948.0,232664.0,3848.1138876581767,3848.1138876581767,3848.1138876581767
2020-06-01,355.0,233019.0,75.0,233019.0,18053.0,233019.0,3853.9853608131066,3853.9853608131066,3853.9853608131066
2020-06-02,178.0,233197.0,60.0,233197.0,25628.0,233197.0,3856.9293670710717,3856.9293670710717,3856.9293670710717
2020-06-03,318.0,233515.0,55.0,233515.0,20035.0,233515.0,3862.1888838690093,3862.1888838690093,3862.1888838690093
2020-06-04,321.0,233836.0,71.0,233836.0,27451.0,233836.0,3867.498018749946,3867.498018749946,3867.498018749946
2020-06-05,177.0,234013.0,88.0,234013.0,40470.0,234013.0,3870.425485646911,3870.425485646911,3870.425485646911
2020-06-06,518.0,234531.0,85.0,234531.0,34036.0,234531.0,3878.992874644809,3878.992874644809,3878.992874644809
2020-06-07,270.0,234801.0,72.0,234801.0,27894.0,234801.0,3883.458502114756,3883.458502114756,3883.458502114756
2020-06-08,197.0,234998.0,53.0,234998.0,16301.0,234998.0,3886.7167562317168,3886.7167562317168,3886.7167562317168
2020-06-09,280.0,235278.0,65.0,235278.0,32200.0,235278.0,3891.347777311662,3891.347777311662,3891.347777311662
2020-06-10,283.0,235561.0,79.0,235561.0,37865.0,235561.0,3896.0284164746063,3896.0284164746063,3896.0284164746063
2020-06-11,202.0,235763.0,71.0,235763.0,32991.0,235763.0,3899.3693673965663,3899.3693673965663,3899.3693673965663
2020-06-12,379.0,236142.0,53.0,236142.0,37651.0,236142.0,3905.6377852154915,3905.6377852154915,3905.6377852154915
2020-06-13,163.0,236305.0,56.0,236305.0,32880.0,236305.0,3908.3337010584596,3908.3337010584596,3908.3337010584596
2020-06-14,346.0,236651.0,78.0,236651.0,29545.0,236651.0,3914.0563199643916,3914.0563199643916,3914.0563199643916
2020-06-15,338.0,236989.0,44.0,236989.0,17463.0,236989.0,3919.646623982325,3919.646623982325,3919.646623982325
2020-06-16,301.0,237290.0,26.0,237290.0,27762.0,237290.0,3924.624971643266,3924.624971643266,3924.624971643266
2020-06-17,210.0,237500.0,34.0,237500.0,33957.0,237500.0,3928.098237453224,3928.098237453224,3928.098237453224
2020-06-18,328.0,237828.0,43.0,237828.0,32921.0,237828.0,3933.5231478611595,3933.5231478611595,3933.5231478611595
2020-06-19,331.0,238159.0,66.0,238159.0,28570.0,238159.0,3938.9976763520945,3938.9976763520945,3938.9976763520945
2020-06-20,297.5,238456.5,47.0,238456.5,29875.0,238456.5,3943.918136249536,3943.918136249536,3943.918136249536
2020-06-21,264.0,238720.5,49.0,238720.5,24581.0,238720.5,3948.2845275534837,3948.2845275534837,3948.2845275534837
2020-06-22,224.0,238944.5,24.0,238944.5,16152.0,238944.5,3951.9893444174395,3951.9893444174395,3951.9893444174395
2020-06-23,221.0,239165.5,23.0,239165.5,23225.0,239165.5,3955.644543198396,3955.644543198396,3955.644543198396
2020-06-24,113.0,239278.5,18.0,239278.5,30237.0,239278.5,3957.513490991374,3957.513490991374,3957.513490991374
2020-06-25,577.0,239855.5,-31.0,239855.5,29421.0,239855.5,3967.05670228826,3967.05670228826,3967.05670228826
2020-06-26,296.0,240151.5,34.0,240151.5,28331.0,240151.5,3971.952353144202,3971.952353144202,3971.952353144202
2020-06-27,255.0,240406.5,30.0,240406.5,29721.0,240406.5,3976.1698901991517,3976.1698901991517,3976.1698901991517
2020-06-28,175.0,240581.5,8.0,240581.5,21183.0,240581.5,3979.0642783741173,3979.0642783741173,3979.0642783741173
2020-06-29,174.0,240755.5,22.0,240755.5,15484.0,240755.5,3981.942127188083,3981.942127188083,3981.942127188083
2020-06-30,126.0,240881.5,6.0,240881.5,28471.0,240881.5,3984.026086674058,3984.026086674058,3984.026086674058
2020-07-01,142.0,241023.5,23.0,241023.5,29325.0,241023.5,3986.37467593603,3986.37467593603,3986.37467593603
2020-07-02,182.0,241205.5,21.0,241205.5,29147.0,241205.5,3989.3848396379944,3989.3848396379944,3989.3848396379944
2020-07-03,201.0,241406.5,30.0,241406.5,25680.0,241406.5,3992.709251198955,3992.709251198955,3992.709251198955
2020-07-04,223.0,241629.5,15.0,241629.5,28946.0,241629.5,3996.3975287019107,3996.3975287019107,3996.3975287019107
2020-07-05,235.0,241864.5,21.0,241864.5,21166.0,241864.5,4000.284278536865,4000.284278536865,4000.284278536865
2020-07-06,192.0,242056.5,7.0,242056.5,13771.0,242056.5,4003.459835848827,4003.459835848827,4003.459835848827
2020-07-07,208.0,242264.5,8.0,242264.5,22490.0,242264.5,4006.9000229367857,4006.9000229367857,4006.9000229367857
2020-07-08,137.0,242401.5,30.0,242401.5,28679.0,242401.5,4009.165915393759,4009.165915393759,4009.165915393759
2020-07-09,193.0,242594.5,15.0,242594.5,29947.0,242594.5,4012.3580120667207,4012.3580120667207,4012.3580120667207
2020-07-10,214.0,242808.5,12.0,242808.5,27251.0,242808.5,4015.8974353206786,4015.8974353206786,4015.8974353206786
2020-07-11,276.0,243084.5,12.0,243084.5,25449.0,243084.5,4020.462298956624,4020.462298956624,4020.462298956624
2020-07-12,188.0,243272.5,7.0,243272.5,23061.0,243272.5,4023.571698824587,4023.571698824587,4023.571698824587
2020-07-13,234.0,243506.5,9.0,243506.5,14006.0,243506.5,4027.4419092985413,4027.4419092985413,4027.4419092985413
2020-07-14,169.0,243675.5,13.0,243675.5,24222.0,243675.5,4030.237061307508,4030.237061307508,4030.237061307508
2020-07-15,114.0,243789.5,17.0,243789.5,28392.0,243789.5,4032.1225484614856,4032.1225484614856,4032.1225484614856
2020-07-16,162.0,243951.5,13.0,243951.5,28089.0,243951.5,4034.8019249434537,4034.8019249434537,4034.8019249434537
2020-07-17,230.0,244181.5,20.0,244181.5,28661.0,244181.5,4038.6059779734082,4038.6059779734082,4038.6059779734082
2020-07-18,231.0,244412.5,11.0,244412.5,27569.0,244412.5,4042.4265703643628,4042.4265703643628,4042.4265703643628
2020-07-19,249.0,244661.5,14.0,244661.5,20621.0,244661.5,4046.544871253314,4046.544871253314,4046.544871253314
2020-07-20,218.0,244879.5,3.0,244879.5,14121.0,244879.5,4050.150451951271,4050.150451951271,4050.150451951271
2020-07-21,190.0,245069.5,13.0,245069.5,23915.0,245069.5,4053.2929305412335,4053.2929305412335,4053.2929305412335
2020-07-22,128.0,245197.5,15.0,245197.5,29288.0,245197.5,4055.409968749208,4055.409968749208,4055.409968749208
2020-07-23,280.0,245477.5,9.0,245477.5,33018.0,245477.5,4060.040989829153,4060.040989829153,4060.040989829153
2020-07-24,306.0,245783.5,10.0,245783.5,28970.0,245783.5,4065.102034295093,4065.102034295093,4065.102034295093
2020-07-25,252.0,246035.5,5.0,246035.5,28059.0,246035.5,4069.269953267043,4069.269953267043,4069.269953267043
2020-07-26,274.0,246309.5,5.0,246309.5,25177.0,246309.5,4073.801738180989,4073.801738180989,4073.801738180989
2020-07-27,254.0,246563.5,5.0,246563.5,19374.0,246563.5,4078.002735874939,4078.002735874939,4078.002735874939
2020-07-28,168.0,246731.5,5.0,246731.5,25341.0,246731.5,4080.7813485229062,4080.7813485229062,4080.7813485229062
2020-07-29,202.0,246933.5,11.0,246933.5,30875.0,246933.5,4084.1222994448663,4084.1222994448663,4084.1222994448663
2020-07-30,288.0,247221.5,6.0,247221.5,33396.0,247221.5,4088.8856354128097,4088.8856354128097,4088.8856354128097
2020-07-31,382.0,247603.5,3.0,247603.5,29686.0,247603.5,4095.2036713147345,4095.2036713147345,4095.2036713147345
2020-08-01,379.0,247982.5,9.0,247982.5,31905.0,247982.5,4101.47208913366,4101.47208913366,4101.47208913366
2020-08-02,295.0,248277.5,5.0,248277.5,24496.0,248277.5,4106.351200628602,4106.351200628602,4106.351200628602
2020-08-03,238.0,248515.5,8.0,248515.5,13467.0,248515.5,4110.287568546555,4110.287568546555,4110.287568546555
2020-08-04,159.0,248674.5,12.0,248674.5,23491.0,248674.5,4112.917326945523,4112.917326945523,4112.917326945523
2020-08-05,190.0,248864.5,5.0,248864.5,29739.0,248864.5,4116.059805535486,4116.059805535486,4116.059805535486
2020-08-06,384.0,249248.5,10.0,249248.5,32169.0,249248.5,4122.41092015941,4122.41092015941,4122.41092015941
2020-08-07,401.0,249649.5,6.0,249649.5,30392.0,249649.5,4129.0432039203315,4129.0432039203315,4129.0432039203315
2020-08-08,552.0,250201.5,3.0,250201.5,26631.0,250201.5,4138.172931192223,4138.172931192223,4138.172931192223
2020-08-09,347.0,250548.5,13.0,250548.5,22773.0,250548.5,4143.912089459154,4143.912089459154,4143.912089459154
2020-08-10,463.0,251011.5,2.0,251011.5,10904.0,251011.5,4151.569813602063,4151.569813602063,4151.569813602063
2020-08-11,259.0,251270.5,4.0,251270.5,22063.0,251270.5,4155.853508101012,4155.853508101012,4155.853508101012
2020-08-12,412.0,251682.5,6.0,251682.5,27330.0,251682.5,4162.667724832931,4162.667724832931,4162.667724832931
2020-08-13,476.0,252158.5,10.0,252158.5,25629.0,252158.5,4170.540460668837,4170.540460668837,4170.540460668837
2020-08-14,522.0,252680.5,6.0,252680.5,24868.0,252680.5,4179.174007110734,4179.174007110734,4179.174007110734
2020-08-15,574.0,253254.5,3.0,253254.5,25937.0,253254.5,4188.667600324621,4188.667600324621,4188.667600324621
2020-08-16,629.0,253883.5,158.0,253883.5,22470.0,253883.5,4199.0708583934975,4199.0708583934975,4199.0708583934975
2020-08-17,477.0,254360.5,4.0,254360.5,21379.0,254360.5,4206.9601335904035,4206.9601335904035,4206.9601335904035
2020-08-18,320.0,254680.5,4.0,254680.5,32687.0,254680.5,4212.252729110341,4212.252729110341,4212.252729110341
2020-08-19,401.0,255081.5,5.0,255081.5,41290.0,255081.5,4218.885012871261,4218.885012871261,4218.885012871261
2020-08-20,642.0,255723.5,7.0,255723.5,49662.0,255723.5,4229.503282633135,4229.503282633135,4229.503282633135
2020-08-21,840.0,256563.5,6.0,256563.5,44943.0,256563.5,4243.3963458729695,4243.3963458729695,4243.3963458729695
2020-08-22,947.0,257510.5,9.0,257510.5,46613.0,257510.5,4259.059120739783,4259.059120739783,4259.059120739783
2020-08-23,1071.0,258581.5,3.0,258581.5,47463.0,258581.5,4276.7727763705725,4276.7727763705725,4276.7727763705725
2020-08-24,1209.0,259790.5,7.0,259790.5,33358.0,259790.5,4296.768863819334,4296.768863819334,4296.768863819334
2020-08-25,953.0,260743.5,4.0,260743.5,45798.0,260743.5,4312.530874852147,4312.530874852147,4312.530874852147
2020-08-26,876.0,261619.5,4.0,261619.5,58054.0,261619.5,4327.019355087974,4327.019355087974,4327.019355087974
2020-08-27,1366.0,262985.5,13.0,262985.5,57640.0,262985.5,4349.612122213704,4349.612122213704,4349.612122213704
2020-08-28,1409.0,264394.5,5.0,264394.5,65135.0,264394.5,4372.916081862428,4372.916081862428,4372.916081862428
2020-08-29,1460.0,265854.5,9.0,265854.5,64294.0,265854.5,4397.0635489221395,4397.0635489221395,4397.0635489221395
2020-08-30,1444.0,267298.5,1.0,267298.5,53541.0,267298.5,4420.946386205856,4420.946386205856,4420.946386205856
2020-08-31,1365.0,268663.5,4.0,268663.5,42583.0,268663.5,4443.5226139705865,4443.5226139705865,4443.5226139705865
2020-09-01,996.0,269659.5,6.0,269659.5,54395.0,269659.5,4459.99581752639,4459.99581752639,4459.99581752639
2020-09-02,975.0,270634.5,8.0,270634.5,,270634.5,4476.121694501198,4476.121694501198,4476.121694501198
2020-09-03,1326.0,271960.5,6.0,271960.5,,271960.5,4498.052887186937,4498.052887186937,4498.052887186937
